node1,node2,relation
79754,26232,interacts
CID000004543,CID000110634,C0085694
CID000003032,CID000005512,C0013404
4218,10121,interacts
CID000005515,CID000038904,C0032584
4163,1967,interacts
CID000003062,CID000005077,C0678222
CID000003639,CID000004253,C0013922
CID000005212,CID000005544,C0012813
CID000003440,CID005353980,C0004096
CID000004583,CID000005514,C0039070
CID000003403,CID000004894,C0035078
CID000000444,CID000003324,C0027404
CID000003003,CID000176870,C0030196
CID000004253,CID000123631,C0020625
CID000003878,CID000124087,C0013604
CID000002554,CID000003676,C0151786
CID000002269,CID000003345,C0042510
CID000003899,CID000005358,C0010692
CID000003222,CID005481350,C0015230
CID000004485,CID000004595,C0020672
CID000004112,CID000077999,C0151632
CID000001117,CID000003325,C0162429
CID000002764,CID000004873,C0023467
5431,63931,interacts
CID000002802,CID000003016,C0025322
CID000002764,CID000003419,C0011882
CID000002609,CID000150311,C0034063
CID000002477,CID000124087,C0242362
7325,51255,interacts
CID000005090,CID000054454,C0042029
CID000004740,CID000005732,C0239739
CID000002678,CID000002806,C0003872
CID000004107,CID005311297,C0041956
CID000002802,CID000004917,C0024121
CID000004170,CID000005496,C0018784
CID000003958,CID000005732,C0042384
CID000003345,CID000005719,C0037199
CID000003749,CID000005267,C0152029
CID000001117,CID000004236,C0043094
CID000002907,CID000003883,C0032300
CID000002265,CID000003652,C0020621
CID000003075,CID000060184,C0232492
CID000002764,CID000003476,C0020443
CID000000596,CID000004159,C0016807
CID000001983,CID000003249,C0149871
CID000000853,CID000003639,C0024121
CID000004594,CID000005656,C0149736
CID000003929,CID000004585,C0014518
84818,23654,interacts
CID000003345,CID000004091,C0042025
CID000003386,CID000003696,C0020538
9630,1902,interacts
CID000002118,CID000032797,C0023798
CID000003883,CID000005064,C0027947
CID000002265,CID006398525,C0024050
CID000005523,CID004183806,C0030319
CID000002678,CID000004691,C0002170
CID000002803,CID000005487,C0015230
CID000002550,CID000004635,C0013473
CID000000271,CID000003333,C0042384
CID000004691,CID000005426,C0034212
4297,7994,interacts
CID000002771,CID000003042,C0002103
5594,5175,interacts
CID000002895,CID000060835,C0032290
CID000001983,CID000002725,C0027080
84916,23404,interacts
CID000002092,CID000004594,C0005758
10928,1211,interacts
CID000002678,CID000003386,C0162298
CID000003877,CID000005978,C0019163
CID000130881,CID003081884,C0015695
CID000003121,CID000005152,C0151786
CID000003440,CID005381226,C0235946
CID000004112,CID000005978,C0151786
CID000000853,CID000004158,C0006444
CID000002818,10316,targets
23438,16,interacts
91319,10952,interacts
3646,84726,interacts
CID000003222,CID000119607,C0014591
5928,55166,interacts
CID000002907,CID000004594,C0004623
CID000003325,CID000004112,C0231807
